OID,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
6760,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk
6807,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk
6815,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk
7075,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk
7140,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk
7168,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk
7184,0,0,0,0,Start Time: 1:30 PM - End Time: 4:30 PM,0,0
7076,0,0,0,0,Start Time: 10:00 AM - End Time: 1:00 PM,0,0
7151,0,0,0,0,Start Time: 10:30 AM - End Time: 2:30 PM,0,0
7015,0,0,0,0,Start Time: 11:00 AM - End Time: 2:00 PM,0,0
7030,0,0,0,0,Start Time: 11:00 AM - End Time: 4:30 PM,0,0
7160,0,0,0,0,Start Time: 12:00 PM - End Time: 3:00 PM,0,0
7048,0,0,0,0,Start Time: 2:00 PM - End Time: 3:00 PM,0,0
7179,0,0,0,0,Start Time: 4:00 PM - End Time: 5:30 PM,0,0
7123,0,0,0,0,Start Time: 7:30 AM - End Time: 11:30 AM,0,0
7017,0,0,0,0,Start Time: 8:00 AM - End Time: 1:30 PM,0,0
7023,0,0,0,0,Start Time: 8:00 AM - End Time: 11:30 AM,0,0
7122,0,0,0,0,Start Time: 8:00 AM - End Time: 12:00 PM,0,0
6990,0,0,0,0,Start Time: 8:00 AM - End Time: 12:00 PM,0,0
6992,0,0,0,0,Start Time: 8:00 AM - End Time: 12:00 PM,0,0
7009,0,0,0,0,Start Time: 8:00 AM - End Time: 12:00 PM,0,0
6729,0,0,0,0,Start Time: 8:00 AM - End Time: 12:30 PM,0,0
7157,0,0,0,0,Start Time: 8:30 AM - End Time: 1:00 PM,0,0
6755,0,0,0,0,Start Time: 8:30 AM - End Time: 12:30 PM,0,0
7072,0,0,0,0,Start Time: 8:30 AM - End Time: 2:30 PM,0,0
6824,0,0,0,0,Start Time: 9:00 AM - End Time: 10:00 AM,0,0
7005,0,0,0,0,Start Time: 9:00 AM - End Time: 11:00 AM,0,0
6905,0,0,0,0,Start Time: 9:00 AM - End Time: 2:00 PM,0,0
6980,0,0,0,0,Start Time: 11:00 AM - End Time: 4:00 PM,Start Time: 11:00 AM - End Time: 4:00 PM,0
